EVENT,BOUT,FIGHTER,KD,SIG.STR._L,SIG.STR._A,TOTAL STR._L,TOTAL STR._A,TD_L,TD_A,SUB.ATT,REV.,CTRL_sec,BOUT_N,FIGHTER_N,EVENT_N,RESULT,WEIGHTCLASS,METHOD,ROUND_END,TIME_END,TIME FORMAT,REFEREE,DETAILS,URL,GLOVE_WINDOW
UFC Fight Night: Ulberg vs. Reyes,Carlos Ulberg vs. Dominick Reyes,Carlos Ulberg,1,11,17,11,17,0,0,0,0,3,Carlos Ulberg vs. Dominick Reyes,Carlos Ulberg,UFC Fight Night: Ulberg vs. Reyes,W,Light Heavyweight Bout,KO/TKO ,1,4:27,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/a3ee907c77544cde,3
UFC Fight Night: Ulberg vs. Reyes,Carlos Ulberg vs. Dominick Reyes,Dominick Reyes,0,5,11,5,11,0,0,0,0,0,Carlos Ulberg vs. Dominick Reyes,Dominick Reyes,UFC Fight Night: Ulberg vs. Reyes,L,Light Heavyweight Bout,KO/TKO ,1,4:27,5 Rnd (5-5-5-5-5),Marc Goddard,Punches to Head At Distance ,http://ufcstats.com/fight-details/a3ee907c77544cde,3
UFC Fight Night: Ulberg vs. Reyes,Jimmy Crute vs. Ivan Erslan,Ivan Erslan,0,10,14,10,14,0,0,0,0,5,Jimmy Crute vs. Ivan Erslan,Ivan Erslan,UFC Fight Night: Ulberg vs. Reyes,L,Light Heavyweight Bout,Submission ,1,3:19,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,http://ufcstats.com/fight-details/f5fb8b182020c59d,3
UFC Fight Night: Ulberg vs. Reyes,Jimmy Crute vs. Ivan Erslan,Jimmy Crute,0,12,16,12,16,2,4,1,1,128,Jimmy Crute vs. Ivan Erslan,Jimmy Crute,UFC Fight Night: Ulberg vs. Reyes,W,Light Heavyweight Bout,Submission ,1,3:19,3 Rnd (5-5-5),Mike Beltran,Rear Naked Choke ,http://ufcstats.com/fight-details/f5fb8b182020c59d,3
UFC Fight Night: Ulberg vs. Reyes,Jack Jenkins vs. Ramon Taveras,Jack Jenkins,0,65,109,73,123,3,6,1,0,238,Jack Jenkins vs. Ramon Taveras,Jack Jenkins,UFC Fight Night: Ulberg vs. Reyes,W,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Evan Field 27 - 30.Clemens Werner 27 - 30.Ben Cartlidge 28 - 29.,http://ufcstats.com/fight-details/38248c5d13f273e6,3
UFC Fight Night: Ulberg vs. Reyes,Jack Jenkins vs. Ramon Taveras,Ramon Taveras,0,43,113,68,142,0,4,0,1,99,Jack Jenkins vs. Ramon Taveras,Ramon Taveras,UFC Fight Night: Ulberg vs. Reyes,L,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Marc Goddard,Evan Field 27 - 30.Clemens Werner 27 - 30.Ben Cartlidge 28 - 29.,http://ufcstats.com/fight-details/38248c5d13f273e6,3
UFC Fight Night: Ulberg vs. Reyes,Jake Matthews vs. Neil Magny,Jake Matthews,0,18,44,28,54,0,1,3,1,283,Jake Matthews vs. Neil Magny,Jake Matthews,UFC Fight Night: Ulberg vs. Reyes,L,Welterweight Bout,Submission ,3,3:08,3 Rnd (5-5-5),Jim Perdios,D'Arce Choke From Half Guard ,http://ufcstats.com/fight-details/1ff24d5f760e0491,3
UFC Fight Night: Ulberg vs. Reyes,Jake Matthews vs. Neil Magny,Neil Magny,0,31,57,73,103,3,5,1,0,166,Jake Matthews vs. Neil Magny,Neil Magny,UFC Fight Night: Ulberg vs. Reyes,W,Welterweight Bout,Submission ,3,3:08,3 Rnd (5-5-5),Jim Perdios,D'Arce Choke From Half Guard ,http://ufcstats.com/fight-details/1ff24d5f760e0491,3
UFC Fight Night: Ulberg vs. Reyes,Tom Nolan vs. Charlie Campbell,Charlie Campbell,0,15,42,15,42,0,1,0,0,18,Tom Nolan vs. Charlie Campbell,Charlie Campbell,UFC Fight Night: Ulberg vs. Reyes,L,Lightweight Bout,Submission ,1,4:08,3 Rnd (5-5-5),Jim Perdios,Rear Naked Choke ,http://ufcstats.com/fight-details/8abad36b4c5e4070,3
UFC Fight Night: Ulberg vs. Reyes,Tom Nolan vs. Charlie Campbell,Tom Nolan,0,26,61,33,69,1,1,1,0,34,Tom Nolan vs. Charlie Campbell,Tom Nolan,UFC Fight Night: Ulberg vs. Reyes,W,Lightweight Bout,Submission ,1,4:08,3 Rnd (5-5-5),Jim Perdios,Rear Naked Choke ,http://ufcstats.com/fight-details/8abad36b4c5e4070,3
